,shooterPlayerId,shooterName,xG
665,8480865.0,Noah Dobson,8.107246745514821
620,8479414.0,Nathan Bastian,8.095268553152378
458,8480817.0,K'Andre Miller,8.0500260272494
512,8482117.0,Lukas Reichel,8.034291388690642
319,8476958.0,Jaccob Slavin,8.002193952570325
86,8481481.0,Blake Lizotte,7.993060604675789
138,8473504.0,Cal Clutterbuck,7.971454002580859
465,8478434.0,Keegan Kolesar,7.945876471485432
197,8477508.0,Curtis Lazar,7.936910339503053
785,8476374.0,Sean Kuraly,7.922211446384565
673,8475171.0,Oliver Ekman-Larsson,7.880757704962191
79,8476624.0,Barclay Goodrow,7.86247590167094
256,8480762.0,Eric Robinson,7.84955266125461
917,8476878.0,Zemgus Girgensons,7.81915339886968
133,8482122.0,Brock Faber,7.784598016667261
516,8482684.0,Luke Hughes,7.674007925197528
566,8478911.0,Matt Roy,7.672422264768604
338,8476885.0,Jacob Trouba,7.664654653917676
181,8476892.0,Colton Parayko,7.623296705453487
456,8481704.0,Juuso Parssinen,7.609435636267413
683,8482671.0,Owen Power,7.561986581945642
252,8480205.0,Emil Bemstrom,7.538738325892409
873,8478042.0,Viktor Arvidsson,7.516754944746351
519,8480025.0,MacKenzie Entwistle,7.471734970655475
310,8480806.0,Isac Lundestrom,7.466602236019385
908,8470610.0,Zach Parise,7.456922857357646
669,8478569.0,Noel Acciari,7.456290841696838
867,8481703.0,Valtteri Puustinen,7.430587233521446
624,8480145.0,Neal Pionk,7.423315108373459
698,8481522.0,Peyton Krebs,7.349640290996478
819,8478469.0,Thomas Chabot,7.340283615744632
538,8476873.0,Mark Jankowski,7.298535012433184
234,8474563.0,Drew Doughty,7.217331051054575
325,8482097.0,Jack Quinn,7.162358714007882
618,8481542.0,Moritz Seider,7.132883461606195
281,8477919.0,Frederick Gaudreau,7.05642298056251
222,8478585.0,Derek Ryan,7.019998665417901
12,8476457.0,Adam Larsson,7.016358166955399
296,8476854.0,Hampus Lindholm,7.0153244856189385
451,8475753.0,Justin Faulk,7.004664530635738
241,8482077.0,Dylan Holloway,6.966181602722179
1,8477932.0,Aaron Ekblad,6.903951061858923
264,8476902.0,Esa Lindell,6.891643522820323
711,8480995.0,Pontus Holmberg,6.89026929469058
362,8476467.0,Jamie Oleksiak,6.84240095336391
600,8474884.0,Mike Hoffman,6.8212165169425045
841,8481533.0,Trevor Zegras,6.793503884151873
700,8481577.0,Philip Tomasino,6.695101594626355
848,8480848.0,Ty Dellandrea,6.643178018032102
554,8479671.0,Mathieu Olivier,6.549273726060306
743,8477846.0,Ryan Carpenter,6.482488767653403
94,8479383.0,Boris Katchouk,6.475187620479922
750,8479066.0,Ryan Lomberg,6.474901050655816
0,8478421.0,A.J. Greer,6.459252085587715
417,8476463.0,Jonas Brodin,6.435997539064648
687,8474034.0,Pat Maroon,6.42884269109166
299,8482148.0,Hendrix Lapierre,6.42462127216648
804,8477947.0,Sonny Milano,6.317339004319793
147,8475764.0,Cam Fowler,6.314368862678111
797,8477447.0,Shea Theodore,6.306191238983945
561,8476856.0,Matt Dumba,6.2962325689813134
128,8477488.0,Brett Pesce,6.280306402202087
874,8478407.0,Vince Dunn,6.243475205776743
818,8482133.0,Thomas Bordeleau,6.224280427354748
384,8478468.0,Jeremy Lauzon,6.222742780764636
644,8477979.0,Nicolas Aube-Kubel,6.164841854842574
405,8481556.0,John Beecher,6.098552221153775
404,8479315.0,Joey Anderson,6.045602509034213
354,8480880.0,Jakub Lauko,5.993256692805676
655,8478859.0,Niko Mikkola,5.940141700154891
559,8482679.0,Matt Coronato,5.838902781440868
403,8481641.0,Joel Kiviranta,5.828132249010993
704,8476858.0,Phillip Di Giuseppe,5.815047032718284
602,8476422.0,Mike Reilly,5.7981547687049355
43,8478851.0,Alexandre Carrier,5.761219634072851
168,8476879.0,Cody Ceci,5.709239117260216
347,8478136.0,Jake Middleton,5.705378349167829
695,8483490.0,Pavel Mintyukov,5.639760932471934
871,8478109.0,Victor Olofsson,5.639504956183489
82,8475279.0,Ben Chiarot,5.586441007202871
539,8480355.0,Mark Kastelic,5.5863207252239695
446,8477473.0,Justin Bailey,5.568556630997253
454,8474602.0,Justin Schultz,5.521488421983983
717,8481093.0,Rafael Harvey-Pinard,5.500603885667303
563,8474709.0,Matt Martin,5.482047648890347
479,8480011.0,Klim Kostin,5.453600313282299
302,8477392.0,Hudson Fasching,5.40467219375707
356,8478970.0,Jalen Chatfield,5.364147385713452
386,8480003.0,Jesper Boqvist,5.331044719112087
21,8479718.0,Alex Barre-Boulet,5.3163708495441115
99,8482073.0,Braden Schneider,5.279761001255352
209,8478178.0,Darren Raddysh,5.257063511277668
314,8478500.0,Ivan Provorov,5.249177508633245
202,8476923.0,Damon Severson,5.236102927793663
535,8479983.0,Mario Ferraro,5.233443199047128
533,8477969.0,Marcus Pettersson,5.220848087653687
856,8474574.0,Tyler Myers,5.212200964468839
315,8482655.0,J.J. Moser,5.206448749263773
260,8476979.0,Erik Gustafsson,5.182694949892785
448,8479638.0,Justin Brazeau,5.180358107643
71,8482245.0,Artem Zub,5.15154624478116
42,8481014.0,Alexander Romanov,5.141338378906814
193,8477839.0,Conor Sheary,5.141015493050802
350,8478013.0,Jake Walman,5.05108324580336
881,8478882.0,Vladislav Gavrikov,5.019472549248624
760,8470600.0,Ryan Suter,4.97829939741451
603,8479998.0,Mikey Anderson,4.971907933779304
55,8471699.0,Andrew Cogliano,4.960285272738636
257,8480073.0,Erik Brannstrom,4.956355854846329
653,8477507.0,Nikita Zadorov,4.949835118375294
228,8475179.0,Dmitry Kulikov,4.934822929497524
751,8474151.0,Ryan McDonagh,4.929377492646176
471,8478099.0,Kevin Labanc,4.8935750908860065
457,8479976.0,Juuso Valimaki,4.869424656555372
442,8482749.0,Joshua Roy,4.858472625035678
715,8482241.0,Radim Zohorna,4.8184231966079185
411,8478507.0,John Marino,4.816738326735265
636,8475181.0,Nick Leddy,4.816456395470037
740,8477527.0,Ross Johnston,4.814435694271252
461,8482087.0,Kaiden Guhle,4.809813630756308
723,8480873.0,Rasmus Sandin,4.7795892216695055
171,8480252.0,Cole Guttman,4.779427544017089
645,8475235.0,Nicolas Deslauriers,4.776699827605531
466,8482660.0,Kent Johnson,4.758151624818279
724,8481147.0,Reese Johnson,4.751876902377113
887,8478840.0,Will Borgen,4.749735416170466
142,8480884.0,Calen Addison,4.706452172751027
313,8483491.0,Ivan Miroshnichenko,4.683263391067906
226,8479346.0,Dillon Dube,4.674540353753744
807,8478904.0,Steven Lorentz,4.644129893155294
863,8479370.0,Tyson Jost,4.624336728574633
590,8480891.0,Michael Kesselring,4.599111633327853
185,8477365.0,Connor Clifton,4.584754418715254
282,8478028.0,Fredrik Olofsson,4.582808658848865
776,8479398.0,Samuel Girard,4.580979426580394
104,8478443.0,Brandon Carlo,4.571407284167325
112,8475188.0,Brayden McNabb,4.515868709438456
346,8476931.0,Jake McCabe,4.465970649425001
125,8476967.0,Brett Kulak,4.453916373075153
96,8481524.0,Bowen Byram,4.41651280194469
741,8478078.0,Rourke Chartier,4.395141989855416
335,8479439.0,Jacob MacDonald,4.385631922894444
646,8479980.0,Nicolas Hague,4.374852835647365
447,8482111.0,Justin Barron,4.368405561527337
803,8483495.0,Simon Nemec,4.36820039129756
331,8481605.0,Jackson LaCombe,4.314893854602409
756,8477506.0,Ryan Pulock,4.259168165150504
757,8471817.0,Ryan Reaves,4.20250973534045
878,8479968.0,Vinni Lettieri,4.196154259501842
88,8480870.0,Bo Groulx,4.173188297525198
433,8481606.0,Jordan Spence,4.161058419690473
635,8475324.0,Nick Jensen,4.15868852385107
749,8479324.0,Ryan Lindgren,4.147069802265667
14,8476917.0,Adam Pelech,4.108740852167599
622,8477573.0,Nathan Walker,4.069405227975319
382,8473507.0,Jeff Petry,4.053981206862028
772,8478104.0,Sammy Blais,4.0528109318638625
