,shooterPlayerId,shooterName,xG2
554,8479671.0,Mathieu Olivier,6.539634
264,8476902.0,Esa Lindell,6.5169067
181,8476892.0,Colton Parayko,6.38372
451,8475753.0,Justin Faulk,6.3490257
797,8477447.0,Shea Theodore,6.3203135
296,8476854.0,Hampus Lindholm,6.3136797
743,8477846.0,Ryan Carpenter,6.301104
0,8478421.0,A.J. Greer,6.2966776
819,8478469.0,Thomas Chabot,6.254368
874,8478407.0,Vince Dunn,6.244868
417,8476463.0,Jonas Brodin,6.147808
818,8482133.0,Thomas Bordeleau,6.143807
559,8482679.0,Matt Coronato,6.1373935
405,8481556.0,John Beecher,6.0233574
147,8475764.0,Cam Fowler,6.0026193
750,8479066.0,Ryan Lomberg,6.000886
804,8477947.0,Sonny Milano,5.9381557
687,8474034.0,Pat Maroon,5.90624
21,8479718.0,Alex Barre-Boulet,5.8762336
128,8477488.0,Brett Pesce,5.8630605
655,8478859.0,Niko Mikkola,5.819923
347,8478136.0,Jake Middleton,5.7880173
539,8480355.0,Mark Kastelic,5.7339716
43,8478851.0,Alexandre Carrier,5.691711
403,8481641.0,Joel Kiviranta,5.6460376
362,8476467.0,Jamie Oleksiak,5.6237764
466,8482660.0,Kent Johnson,5.618964
561,8476856.0,Matt Dumba,5.5764704
446,8477473.0,Justin Bailey,5.5522704
717,8481093.0,Rafael Harvey-Pinard,5.528096
384,8478468.0,Jeremy Lauzon,5.526328
871,8478109.0,Victor Olofsson,5.497815
479,8480011.0,Klim Kostin,5.492382
209,8478178.0,Darren Raddysh,5.4226255
448,8479638.0,Justin Brazeau,5.4131007
226,8479346.0,Dillon Dube,5.3775587
55,8471699.0,Andrew Cogliano,5.280436
71,8482245.0,Artem Zub,5.2338266
563,8474709.0,Matt Martin,5.2045193
454,8474602.0,Justin Schultz,5.189774
704,8476858.0,Phillip Di Giuseppe,5.165641
314,8478500.0,Ivan Provorov,5.132389
356,8478970.0,Jalen Chatfield,5.1107597
863,8479370.0,Tyson Jost,5.101867
302,8477392.0,Hudson Fasching,5.0913444
202,8476923.0,Damon Severson,5.088406
695,8483490.0,Pavel Mintyukov,5.0535755
386,8480003.0,Jesper Boqvist,5.0348644
193,8477839.0,Conor Sheary,5.032153
168,8476879.0,Cody Ceci,5.0308957
82,8475279.0,Ben Chiarot,5.0274343
257,8480073.0,Erik Brannstrom,4.984832
442,8482749.0,Joshua Roy,4.948839
602,8476422.0,Mike Reilly,4.9322963
645,8475235.0,Nicolas Deslauriers,4.931387
724,8481147.0,Reese Johnson,4.8932495
315,8482655.0,J.J. Moser,4.842606
99,8482073.0,Braden Schneider,4.8290367
471,8478099.0,Kevin Labanc,4.821078
260,8476979.0,Erik Gustafsson,4.8056893
856,8474574.0,Tyler Myers,4.7989287
535,8479983.0,Mario Ferraro,4.7599564
881,8478882.0,Vladislav Gavrikov,4.7517605
776,8479398.0,Samuel Girard,4.7058034
603,8479998.0,Mikey Anderson,4.7009716
171,8480252.0,Cole Guttman,4.7008567
335,8479439.0,Jacob MacDonald,4.685555
533,8477969.0,Marcus Pettersson,4.6843133
715,8482241.0,Radim Zohorna,4.6577873
350,8478013.0,Jake Walman,4.608436
636,8475181.0,Nick Leddy,4.5874395
282,8478028.0,Fredrik Olofsson,4.5592613
751,8474151.0,Ryan McDonagh,4.549597
461,8482087.0,Kaiden Guhle,4.5448503
228,8475179.0,Dmitry Kulikov,4.538827
142,8480884.0,Calen Addison,4.524464
723,8480873.0,Rasmus Sandin,4.522527
112,8475188.0,Brayden McNabb,4.515215
447,8482111.0,Justin Barron,4.440939
96,8481524.0,Bowen Byram,4.435253
185,8477365.0,Connor Clifton,4.4076204
878,8479968.0,Vinni Lettieri,4.3902073
887,8478840.0,Will Borgen,4.3856344
653,8477507.0,Nikita Zadorov,4.366508
88,8480870.0,Bo Groulx,4.3281617
740,8477527.0,Ross Johnston,4.317504
433,8481606.0,Jordan Spence,4.3100886
760,8470600.0,Ryan Suter,4.309835
807,8478904.0,Steven Lorentz,4.2989583
313,8483491.0,Ivan Miroshnichenko,4.295281
125,8476967.0,Brett Kulak,4.287342
346,8476931.0,Jake McCabe,4.2650785
42,8481014.0,Alexander Romanov,4.25732
457,8479976.0,Juuso Valimaki,4.2215643
741,8478078.0,Rourke Chartier,4.2182965
411,8478507.0,John Marino,4.1283345
590,8480891.0,Michael Kesselring,4.1171794
766,8474040.0,Sam Gagner,4.1157665
757,8471817.0,Ryan Reaves,4.1027284
803,8483495.0,Simon Nemec,4.0972137
595,8475958.0,Michael Sgarbossa,4.088143
104,8478443.0,Brandon Carlo,4.085912
611,8482070.0,Mitchell Chaffee,4.0496883
622,8477573.0,Nathan Walker,4.021996
646,8479980.0,Nicolas Hague,4.010549
749,8479324.0,Ryan Lindgren,4.0091615
323,8471677.0,Jack Johnson,3.9303598
382,8473507.0,Jeff Petry,3.903019
706,8477930.0,Pierre-Edouard Bellemare,3.8542864
772,8478104.0,Sammy Blais,3.8363495
571,8483505.0,Matthew Poitras,3.7911146
341,8479402.0,Jake Bean,3.7638946
857,8475752.0,Tyler Pitlick,3.755462
331,8481605.0,Jackson LaCombe,3.7494478
756,8477506.0,Ryan Pulock,3.7381914
51,8476960.0,Andreas Athanasiou,3.6874876
619,8477220.0,Nate Schmidt,3.6591496
691,8479339.0,Patrik Laine,3.6590784
482,8477335.0,Kyle Burroughs,3.6452472
164,8477989.0,Christian Dvorak,3.63597
14,8476917.0,Adam Pelech,3.628676
35,8481568.0,Alex Vlasic,3.6230505
130,8475208.0,Brian Dumoulin,3.605552
631,8474009.0,Nick Bonino,3.577417
861,8475197.0,Tyson Barrie,3.5646026
392,8481058.0,Jesse Ylonen,3.558666
635,8475324.0,Nick Jensen,3.55163
676,8480245.0,Olle Lycksell,3.5426931
884,8482652.0,Walker Duehr,3.5412853
637,8480246.0,Nick Perbix,3.5121257
593,8479543.0,Michael Pezzetta,3.5109563
239,8476331.0,Dylan DeMelo,3.4937117
437,8482659.0,Josh Doan,3.4870584
660,8482496.0,Nils Aman,3.4805868
120,8474090.0,Brendan Smith,3.4416378
846,8479442.0,Troy Stecher,3.4360998
828,8477931.0,Tomas Nosek,3.4321275
416,8479981.0,Jonah Gadjovich,3.4145675
473,8474031.0,Kevin Shattenkirk,3.387608
484,8481237.0,Kyle MacLean,3.3784797
824,8480043.0,Timothy Liljegren,3.3766038
543,8480796.0,Martin Fehervary,3.3412974
570,8479547.0,Matthew Phillips,3.330152
3,8480871.0,Adam Boqvist,3.3277185
716,8475462.0,Radko Gudas,3.3137033
118,8476867.0,Brendan Gaunce,3.3020847
370,8479994.0,Jaret Anderson-Dolan,3.2734225
300,8480035.0,Henri Jokiharju,3.2533207
210,8481019.0,David Gustafsson,3.2527125
675,8480789.0,Oliver Wahlstrom,3.2468243
562,8476891.0,Matt Grzelcyk,3.2329297
681,8479546.0,Oskar Steen,3.1960053
444,8479328.0,Julien Gauthier,3.1668048
355,8477944.0,Jakub Vrana,3.1452613
639,8476372.0,Nick Seeler,3.1186264
610,8478483.0,Mitch Marner,3.1180193
470,8483466.0,Kevin Korchinski,3.0894718
121,8475455.0,Brenden Dillon,3.0791144
419,8478399.0,Jonas Siegenthaler,3.0776243
413,8480192.0,Johnathan Kovacevic,3.058773
905,8474567.0,Zach Bogosian,3.0489707
18,8474166.0,Alec Martinez,3.0459642
244,8480049.0,Dylan Samberg,3.0258482
83,8477018.0,Ben Hutton,3.0213647
287,8479379.0,Givani Smith,2.9921153
821,8482116.0,Tim Sttzle,2.9887369
909,8477482.0,Zach Sanford,2.9706438
47,8482109.0,Alexis Lafrenire,2.955845
236,8478211.0,Dryden Hunt,2.9367983
911,8480727.0,Zach Whitecloud,2.9214094
652,8481537.0,Nikita Okhotiuk,2.909845
914,8482737.0,Zack Bolduc,2.8852391
119,8477962.0,Brendan Lemieux,2.8813272
418,8480007.0,Jonas Rondbjerg,2.8530033
75,8478512.0,Austin Czarnik,2.8475616
677,8476874.0,Olli Maatta,2.8355355
547,8482511.0,Mason Lohrei,2.8351493
745,8477435.0,Ryan Graves,2.8254704
364,8480172.0,Jan Rutta,2.8093135
206,8479371.0,Dante Fabbro,2.8070838
399,8476441.0,Joel Edmundson,2.7936409
215,8475233.0,David Savard,2.785726
528,8471709.0,Marc-Edouard Vlasic,2.7824895
662,8480878.0,Nils Lundkvist,2.7806468
604,8479410.0,Mikhail Sergachev,2.7451763
810,8474673.0,TJ Brodie,2.726542
162,8476919.0,Chris Tierney,2.7221375
15,8480008.0,Adam Ruzicka,2.6968837
